UF 229807,33.74,33.35,l1-l3,Bone Valley
UF 234583,81.14,79.81,A1-A2,Bone Valley
UF 24715b_1_LR,44.6,41.4,a1-a2,Bone Valley
UF 24715b_2_LR,38.16,38.44,L1-L3,Bone Valley
UF 24715b_3_LR,45.86,46.35,A1-A2,Bone Valley
UF 24715b_4_LR,35.59,33.22,a1-a2,Bone Valley
UF 24715b_6_LR,41.33,43.13,A1-A2,Bone Valley
UF 24715b_7_LR,31.94,43.68,L3-L6,Bone Valley
UF 300,73.66,70.7,A1-A2,Bone Valley
UF 55973b_1_LR,29.58,35.05,l1-l3,Bone Valley
UF 55973b_2_LR,35.24,38.67,a1-l1,Bone Valley
ACC NO. 413905,35.6,43.6,L1-L6,Calvert
DJB 1029,26.64,27.1,a1-a2,Calvert
DJB 1061,29.76,36,L1-L3,Calvert
DJB 1566,26.23,29.4,A1-A2,Calvert
DJB 1596,33.92,35.6,A1-A2,Calvert
DJB 1766,34.9,36.8,l1-l3,Calvert
DJB 1860,52.15,64.41,L1-L3,Calvert
DJB 1933,80.05,62.85,a1-a2,Calvert
DJB 1975,39.5,60.07,A1-A2,Calvert
DJB 2009,17.53,25,l1-l6,Calvert
DJB 2090,68.75,67.8,a1-a2,Calvert
DJB 2372,57.56,62.85,A1-A2,Calvert
DJB 2464,25.59,33.92,L5-L7,Calvert
DJB 850,55.46,57.3,A1-A2,Calvert
LACM 58931,43.7,45.92,L1-L5,Calvert
No number,24.81,23.7,l1-l2,Calvert
No number,33.49,47.1,L1-L3,Calvert
PAL 535357,27.59,32.1,L1-L6,Calvert
R.O. 411148,21.25,32.3,l3-l7,Calvert
USNM 171156,50.83,73.8,L1-L3,Calvert
USNM 171157,21.72,31.2,l1-l5,Calvert
USNM 171170,14.84,22.3,L3-L7,Calvert
USNM 171182,31.27,35.9,A1-A2,Calvert
USNM 182307,75.1,94.87,A1-A2,Calvert
USNM 24956.1,22.08,23.8,l1-l2,Calvert
USNM 24956.2,52.69,61.2,L1-L3,Calvert
USNM 25929,37,43.27,A1-A2,Calvert
USNM 26189,39.8,36.3,a1-a2,Calvert
USNM 282935.1,34.08,39.57,l1-l5,Calvert
USNM 282935.2,36.41,46.59,A1-A2,Calvert
USNM 282935.3,22.23,25.47,a1-a3,Calvert
USNM 282935.4,30.77,26.41,a1-a2,Calvert
USNM 282935.5,27.77,33.2,A1-A2,Calvert
USNM 293100,21.52,36.25,L5-L7,Calvert
USNM 337208,26.41,32.68,L3-L7,Calvert
USNM 475290,27.36,30.6,l1-l3,Calvert
USNM 475297,19.26,34,L1-L6,Calvert
USNM 475299,33,30.4,a1-a2,Calvert
USNM 475303,38.14,34.4,a1-a2,Calvert
USNM 475304,36.79,30.7,a1-a2,Calvert
USNM 475306,30.51,39.8,L1-L3,Calvert
USNM 475347,48.7,52.13,a1-a2,Calvert
USNM 489136,68.08,87.11,A1-A2,Calvert
USNM 489137,46.08,43.86,A1-A2,Calvert
USNM 494369,45.36,44.17,a1-a3,Calvert
USNM 494370,69.89,102.6,A1-A2,Calvert
USNM 495294,38.08,39.5,A1-A2,Calvert
LACM 58936,92.9,,A1-A2,Capistrano
SDNHM 125566,52.51,,A1-A2,Capistrano
SDNHM 53167,105.2,98.19,L1-L5,Capistrano
UF 275053,16.31,22.98,"L5-L7, l3-l6",Chucunaque
UF 275085,71.72,69.121928,A1-A2,Chucunaque
UF 275086,41.1,40.87804,L1-L5,Chucunaque
